customer,state,gender,education,customer_lifetime_value,income,monthly_premium_auto,number_of_open_complaints,total_claim_amount,policy_type,vehicle_class
GF17866,Oregon,M,College,387365,28142,105,0,702,Corporate Auto,Luxury
UB16654,Washington,M,Master,471856,15680,6464,0,261,Personal Auto,Four-Door Car
KO44736,Oregon,M,Bachelor,1697980,35095,73,0,526,Personal Auto,Two-Door Car
KI55845,Oregon,F,College,1368171,55588,114,0,547,Personal Auto,SUV
JJ24476,Arizona,F,Master,571722,52391,71,0,410,Personal Auto,Two-Door Car
VC68509,Oregon,F,Bachelor,948660,42240,79,0,46,Personal Auto,Four-Door Car
QN62502,Oregon,F,Bachelor,383914,70146,96,0,157,Personal Auto,Four-Door Car
EL92515,Oregon,F,College,1121159,41121,94,0,451,Personal Auto,Four-Door Car
VL84149,Oregon,F,College,2580706,71210,214,1,1027,Corporate Auto,Luxury
JX19907,Oregon,M,Bachelor,379832,0,107,1,1262,Corporate Auto,Two-Door Car
BC66921,Nevada,F,High School or Below,281657,41228,71,0,341,Personal Auto,Four-Door Car
RK24470,Washington,M,Bachelor,502930,40113,67,3,262,Corporate Auto,Two-Door Car
GN80437,Oregon,F,College,344497,0,91,0,596,Special Auto,Four-Door Car
AH65907,California,F,Bachelor,285941,51790,71,0,341,Personal Auto,Four-Door Car
VG57728,California,M,High School or Below,269206,92593,68,0,8,Corporate Auto,Four-Door Car
AF81450,California,M,High School or Below,1143173,28657,100,0,589,Personal Auto,SUV
YI28422,Oregon,M,High School or Below,763588,30262,98,1,499,Personal Auto,Four-Door Car
GR26937,Oregon,F,Master,980583,47197,81,0,76,Corporate Auto,Four-Door Car
BR99015,California,F,Bachelor,680362,0,94,0,451,Personal Auto,Four-Door Car
PB11270,Oregon,F,Bachelor,710766,0,61,0,542,Personal Auto,Four-Door Car
PZ89632,Oregon,F,High School or Below,473518,0,134,0,965,Personal Auto,SUV
LV62981,Arizona,M,College,687433,22093,87,0,617,Corporate Auto,Two-Door Car
AS97690,Arizona,M,College,241126,54483,61,0,293,Personal Auto,Two-Door Car
SG32258,Arizona,F,College,241654,18944,63,0,125,Personal Auto,Four-Door Car
MY80583,Oregon,F,Bachelor,2398154,84365,66,0,317,Personal Auto,Four-Door Car
WS57286,Arizona,M,College,469217,0,64,0,137,Personal Auto,Four-Door Car
MF53477,California,F,High School or Below,360093,25147,101,0,695,Corporate Auto,SUV
DQ28641,Nevada,M,High School or Below,266522,14315,71,0,511,Personal Auto,Four-Door Car
EX46492,Arizona,F,Master,766652,87864,94,0,421,Personal Auto,Two-Door Car
VW20823,California,M,High School or Below,1667590,57844,85,1,408,Personal Auto,Four-Door Car
LH26563,Oregon,F,High School or Below,455086,17913,116,0,557,Personal Auto,Four-Door Car
FR56877,Arizona,F,High School or Below,1176394,28806,99,0,475,Special Auto,Four-Door Car
ZY99878,California,M,High School or Below,1374254,90343,175,0,833,Personal Auto,SUV
CS15289,Oregon,F,Master,1613842,79041,199,0,419,Personal Auto,Luxury
MM49431,Washington,M,Bachelor,729858,74069,63,2,276,Personal Auto,Two-Door Car
IA96447,California,M,College,667374,85019,167,0,802,Personal Auto,Luxury
PT32230,California,F,High School or Below,778213,70059,194,0,254,Personal Auto,Luxury
NK73719,California,F,College,1939321,70503,164,1,41,Corporate Auto,SUV
OH15771,California,M,Bachelor,397414,0,117,0,562,Personal Auto,SUV
XP61034,Oregon,M,Bachelor,410558,39492,105,0,756,Personal Auto,SUV
ZN34245,Arizona,M,College,230847,0,68,0,490,Corporate Auto,Four-Door Car
FX55923,Arizona,M,Bachelor,537291,50405,70,1,7,Personal Auto,Four-Door Car
ZZ83340,Oregon,F,Doctor,550832,96021,68,0,315,Personal Auto,Two-Door Car
HA99340,Oregon,M,High School or Below,239833,0,65,0,423,Personal Auto,Two-Door Car
LE43061,California,M,High School or Below,372883,0,105,0,756,Personal Auto,Four-Door Car
UF77413,Oregon,M,College,275850,65794,69,1,277,Personal Auto,Four-Door Car
UY45293,Oregon,M,Bachelor,370393,21975,95,0,456,Corporate Auto,Four-Door Car
TH84309,California,M,High School or Below,937284,0,126,0,605,Personal Auto,SUV
PZ94551,Oregon,F,Bachelor,499158,56649,125,0,780,Special Auto,SUV
UE76013,Washington,F,Master,503987,35984,128,3,276,Personal Auto,SUV
HS85465,California,M,Bachelor,275998,92296,69,0,331,Corporate Auto,Two-Door Car
SI78985,Oregon,F,Bachelor,799300,39448,103,3,66,Personal Auto,Four-Door Car
KF50730,California,F,Bachelor,523557,71794,131,0,457,Personal Auto,SUV
JO13576,California,F,High School or Below,263301,21861,69,0,348,Personal Auto,Four-Door Car
HJ79774,Oregon,F,College,276480,31591,72,4,240,Corporate Auto,Four-Door Car
KI18648,Arizona,F,Bachelor,808485,60662,68,0,326,Special Auto,Two-Door Car
EL99335,California,F,College,268518,20608,73,0,350,Personal Auto,Four-Door Car
LE84979,California,F,Master,1220812,21331,103,0,419,Personal Auto,SUV
CE12380,Arizona,F,College,2009044,0,66,1,252,Corporate Auto,Four-Door Car
BJ22117,Washington,M,Master,513341,53390,6464,0,279,Personal Auto,Four-Door Car
JF83834,Oregon,M,Doctor,249132,36631,62,0,68,Corporate Auto,Four-Door Car
YN10988,California,M,High School or Below,631460,0,87,0,418,Personal Auto,Four-Door Car
YX15941,Oregon,M,College,1622965,26030,139,1,667,Corporate Auto,Luxury
ZB50601,Nevada,M,College,516179,0,70,0,469,Personal Auto,Four-Door Car
HP50399,Nevada,M,Bachelor,398227,0,113,0,542,Personal Auto,SUV
GC17585,Arizona,M,Bachelor,1347319,25302,70,1,336,Personal Auto,Four-Door Car
QW17286,Washington,F,Master,277832,66030,69,1,282,Personal Auto,Four-Door Car
DO41287,Oregon,M,High School or Below,827644,0,82,0,590,Personal Auto,Four-Door Car
GT54462,Arizona,M,Bachelor,1434986,73222,180,0,822,Personal Auto,SUV
BT76268,California,F,College,587820,22061,74,0,355,Personal Auto,Four-Door Car
QM38267,Arizona,F,High School or Below,266605,86321,66,0,317,Personal Auto,Four-Door Car
LP82042,Oregon,M,Bachelor,534568,54668,68,1,326,Personal Auto,Four-Door Car
EF52978,Arizona,F,High School or Below,477712,0,62,0,298,Personal Auto,Four-Door Car
GH54524,California,M,High School or Below,1697374,69497,142,0,92,Personal Auto,SUV
DP26592,Oregon,M,High School or Below,251811,86617,63,0,188,Personal Auto,Four-Door Car
UP29839,Nevada,F,Master,1916099,22705,239,0,1295,Personal Auto,Luxury
IB80924,Washington,F,High School or Below,3286440,90783,104,2,286,Personal Auto,SUV
OB55054,Oregon,M,Bachelor,396481,88410,99,0,475,Corporate Auto,Four-Door Car
NP91656,California,F,Bachelor,491177,0,69,0,497,Personal Auto,Four-Door Car
SH74080,Oregon,F,College,780531,21073,106,1,509,Personal Auto,SUV
KN25556,Arizona,F,College,720066,0,66,0,317,Personal Auto,Four-Door Car
RB38792,Oregon,M,College,538950,66429,136,0,58,Personal Auto,Luxury
QR72180,California,F,Doctor,324131,66889,80,0,294,Personal Auto,Four-Door Car
TW64385,California,M,Bachelor,552821,36088,72,0,346,Corporate Auto,Four-Door Car
TM13955,Washington,M,Master,299302,0,80,0,286,Corporate Auto,Four-Door Car
GF94951,Arizona,M,Bachelor,707665,0,68,0,490,Corporate Auto,Two-Door Car
NF53775,California,F,College,370038,17557,96,0,667,Personal Auto,Four-Door Car
YB58778,California,F,College,532884,81064,70,4,42,Personal Auto,Two-Door Car
PH77560,Nevada,F,High School or Below,483888,0,66,0,700,Personal Auto,Four-Door Car
ZO14864,Washington,F,Master,341720,42526,86,0,288,Personal Auto,Two-Door Car
BI34376,California,F,Doctor,787993,45703,98,0,470,Personal Auto,Two-Door Car
UQ63396,California,F,Bachelor,786943,40036,65,0,49,Personal Auto,Four-Door Car
BR23201,California,M,Bachelor,258681,0,71,0,192,Personal Auto,Four-Door Car
VH45094,Arizona,M,High School or Below,728679,65870,61,1,203,Personal Auto,Four-Door Car
KD47243,California,F,Bachelor,1179799,91469,100,2,419,Personal Auto,SUV
MY13737,California,M,High School or Below,938675,42090,119,0,203,Corporate Auto,SUV
OR48881,Oregon,F,Doctor,630892,21368,79,0,5,Corporate Auto,Four-Door Car
BD77090,Washington,F,Bachelor,860916,79090,107,0,289,Personal Auto,SUV
LW77178,Oregon,F,Bachelor,1542801,33879,98,0,470,Corporate Auto,Two-Door Car
BQ12347,Arizona,M,High School or Below,563079,72874,70,0,336,Special Auto,Four-Door Car
FF61670,California,M,High School or Below,1813119,0,82,1,394,Personal Auto,Four-Door Car
PM61374,California,F,Bachelor,808722,0,110,0,551,Personal Auto,Two-Door Car
BW25236,Arizona,M,College,1845358,72215,66,0,248,Personal Auto,Four-Door Car
XO22038,California,F,Bachelor,521751,39854,66,0,262,Corporate Auto,Two-Door Car
QG51953,Oregon,M,College,483578,36655,61,0,295,Personal Auto,Four-Door Car
SZ56338,Oregon,F,High School or Below,559712,37995,139,0,667,Personal Auto,SUV
PX60116,California,F,High School or Below,892046,40867,112,0,538,Corporate Auto,Two-Door Car
BW46202,Oregon,F,Bachelor,599541,28804,78,0,76,Personal Auto,Two-Door Car
GW14109,California,F,High School or Below,3849695,48409,124,0,345,Special Auto,SUV
GP42026,California,M,High School or Below,838263,19683,117,1,562,Personal Auto,Luxury
DH41343,Washington,F,College,244367,92834,61,0,293,Special Auto,Four-Door Car
PY42157,Washington,F,High School or Below,247225,62006,61,0,293,Personal Auto,Four-Door Car
OL36978,California,F,High School or Below,540552,67241,68,1,6,Personal Auto,Two-Door Car
KT40899,California,M,High School or Below,935248,75436,78,0,10,Personal Auto,Four-Door Car
WE60408,Arizona,F,College,433987,91761,109,2,779,Personal Auto,SUV
LG64797,California,F,College,1772376,25771,222,0,1254,Personal Auto,Luxury
MD87746,Oregon,M,College,750746,60920,64,0,231,Personal Auto,Two-Door Car
QP80741,Washington,F,College,604857,0,61,3,293,Corporate Auto,Four-Door Car
WO59883,Washington,F,High School or Below,1901448,29822,61,0,293,Personal Auto,Two-Door Car
MU79385,Arizona,M,College,1008037,60944,130,2,624,Personal Auto,SUV
JH30384,California,F,High School or Below,650340,22081,84,0,452,Personal Auto,Two-Door Car
LL45497,Washington,F,College,248773,67282,62,0,298,Personal Auto,Two-Door Car
SK95364,California,F,College,462039,0,130,0,936,Personal Auto,SUV
VG56765,Arizona,M,High School or Below,247153,95697,61,0,114,Personal Auto,Two-Door Car
NE24371,Oregon,F,College,649424,15300,85,0,408,Personal Auto,Four-Door Car
KR48903,Washington,M,High School or Below,250491,88264,62,0,298,Personal Auto,Two-Door Car
ZF27999,Nevada,F,College,490489,12902,139,0,667,Personal Auto,Luxury
MH40017,Arizona,M,High School or Below,480248,29809,61,0,365,Personal Auto,Four-Door Car
YJ99764,Nevada,M,High School or Below,795577,0,74,0,355,Personal Auto,Four-Door Car
AG22225,Oregon,M,High School or Below,694190,0,96,0,461,Personal Auto,Four-Door Car
ZJ26179,Oregon,M,Bachelor,838248,25998,71,0,792,Personal Auto,Four-Door Car
VO36036,Oregon,F,Doctor,353643,28248,90,0,634,Personal Auto,Four-Door Car
ZQ94281,California,F,College,324482,68103,82,0,278,Personal Auto,Two-Door Car
CK40732,California,F,High School or Below,761121,0,103,0,742,Special Auto,Four-Door Car
UT73461,Oregon,F,Doctor,450540,81079,111,0,134,Special Auto,SUV
LT57320,Nevada,F,Master,244584,22732,62,0,16,Personal Auto,Four-Door Car
BZ44726,Nevada,F,High School or Below,1647777,49825,70,3,336,Corporate Auto,Two-Door Car
VU32116,Oregon,F,College,354640,0,103,0,622,Personal Auto,SUV
EG94326,Nevada,M,High School or Below,427727,77265,107,0,514,Personal Auto,SUV
EJ43595,California,M,High School or Below,478477,0,72,0,780,Corporate Auto,Four-Door Car
QI37869,California,M,College,757224,12876,107,2,426,Corporate Auto,Four-Door Car
SX65826,Arizona,M,Bachelor,1176088,36431,99,0,513,Personal Auto,Two-Door Car
XO42145,Oregon,M,High School or Below,393381,25927,103,0,675,Personal Auto,SUV
WJ74851,Nevada,F,Bachelor,570076,26811,72,0,466,Personal Auto,Two-Door Car
IG68709,Oregon,F,High School or Below,349863,41711,90,0,351,Personal Auto,Four-Door Car
AC75391,Arizona,F,College,576809,35091,74,0,419,Corporate Auto,Two-Door Car
WO94087,Arizona,F,Bachelor,636195,0,87,0,418,Corporate Auto,Four-Door Car
YJ69332,Oregon,F,High School or Below,650340,22081,84,0,452,Personal Auto,Two-Door Car
WX87964,Washington,M,High School or Below,493519,29560,62,0,298,Personal Auto,Four-Door Car
PD32641,Oregon,M,College,578522,31320,72,0,294,Personal Auto,Four-Door Car
CK39096,Oregon,M,High School or Below,561969,0,153,0,1027,Personal Auto,SUV
QV19964,Oregon,M,Doctor,259929,33947,66,1,192,Personal Auto,Four-Door Car
BF72793,California,F,High School or Below,673297,0,62,0,446,Personal Auto,Two-Door Car
WB12017,California,F,College,1832187,21189,66,0,317,Personal Auto,Two-Door Car
JO17193,Washington,M,Bachelor,230069,25905,63,0,302,Personal Auto,Four-Door Car
AY84441,Oregon,M,High School or Below,400286,0,114,0,821,Personal Auto,SUV
JQ65500,Oregon,F,Bachelor,862100,44988,108,0,518,Corporate Auto,Two-Door Car
OI29521,Oregon,F,College,1038899,33432,90,0,161,Corporate Auto,Two-Door Car
MJ51323,Oregon,F,Bachelor,842717,46503,215,1,1032,Personal Auto,Luxury
QI64880,California,M,Bachelor,700727,0,101,0,974,Corporate Auto,SUV
HV93429,Oregon,F,Master,517658,23636,65,0,81,Personal Auto,Four-Door Car
TA89713,Oregon,M,College,538950,66429,136,0,58,Personal Auto,Luxury
OB98149,Washington,F,College,470001,11417,63,0,302,Personal Auto,Two-Door Car
LE65901,Oregon,F,Bachelor,443494,58082,112,1,103,Personal Auto,SUV
FF68864,Arizona,F,Bachelor,1401053,36523,71,0,101,Personal Auto,Four-Door Car
YX99200,Nevada,M,Bachelor,1235006,54710,103,0,294,Personal Auto,Two-Door Car
LZ26801,California,F,High School or Below,816158,73466,102,1,205,Personal Auto,SUV
TA66375,Oregon,F,Bachelor,1100913,51643,283,0,1358,Corporate Auto,Luxury
SC92090,Arizona,M,College,871705,83846,74,3,355,Personal Auto,Four-Door Car
TK40018,Oregon,M,High School or Below,591747,0,169,0,1207,Personal Auto,SUV
ZD63451,California,M,Bachelor,250366,53338,63,1,35,Personal Auto,Four-Door Car
AO98601,Washington,F,Bachelor,501889,54500,63,0,302,Corporate Auto,Two-Door Car
DT35588,Oregon,M,College,433039,60475,107,0,514,Personal Auto,Four-Door Car
VF87723,California,M,College,1048774,30658,89,0,442,Personal Auto,Four-Door Car
QP69826,Arizona,M,Bachelor,356750,0,102,0,660,Corporate Auto,SUV
UW37050,Oregon,F,Bachelor,1989642,60420,248,0,633,Personal Auto,Luxury
UH62254,Oregon,M,Bachelor,2142364,0,65,0,312,Personal Auto,Two-Door Car
IA15979,Washington,M,College,694833,40598,91,0,303,Personal Auto,Four-Door Car
DB71122,California,F,Doctor,351583,15144,90,0,373,Personal Auto,Four-Door Car
TM14491,California,M,Bachelor,1203662,44428,104,0,499,Personal Auto,SUV
OY94707,California,M,College,360980,58297,97,5,647,Special Auto,Four-Door Car
LN55080,Oregon,F,Bachelor,1773246,42191,74,1,69,Special Auto,Two-Door Car
TZ47750,Nevada,M,Master,850985,26057,74,0,524,Personal Auto,Four-Door Car
SJ74501,Arizona,F,Bachelor,586642,26608,73,0,234,Personal Auto,Two-Door Car
LE26899,California,M,Doctor,482550,0,63,0,273,Personal Auto,Four-Door Car
ML34366,California,M,College,538950,66429,136,0,58,Personal Auto,Luxury
EI45850,California,F,Bachelor,777801,25970,72,3,431,Personal Auto,Four-Door Car
LD75023,Oregon,M,High School or Below,2634609,48268,223,0,1606,Personal Auto,Luxury
JW12998,California,F,High School or Below,1486645,24279,126,0,605,Personal Auto,Luxury
LP47259,Arizona,M,High School or Below,832423,0,121,0,871,Corporate Auto,Luxury
XD21246,Oregon,F,High School or Below,923831,0,128,0,922,Personal Auto,SUV
DW59142,Nevada,F,High School or Below,2269329,71879,64,0,9,Corporate Auto,Two-Door Car
KX54900,Arizona,M,Doctor,623602,57760,78,0,224,Special Auto,Four-Door Car
XV83643,California,M,College,501218,20976,129,1,736,Personal Auto,Luxury
XY33610,Washington,M,College,1569554,97750,65,0,303,Personal Auto,Four-Door Car
GK48045,Washington,F,College,821460,73245,68,0,305,Personal Auto,Four-Door Car
ET79528,California,M,College,311898,23008,79,1,81,Personal Auto,Four-Door Car
RA66180,Washington,F,High School or Below,276403,33837,72,4,306,Corporate Auto,Two-Door Car
BC66536,Arizona,F,High School or Below,688369,84869,85,0,408,Corporate Auto,Four-Door Car
PN22481,Oregon,M,College,221591,0,66,0,317,Corporate Auto,Two-Door Car
XR95069,Washington,F,Bachelor,485475,29834,6464,0,307,Personal Auto,Four-Door Car
IF38438,Arizona,F,High School or Below,2152295,44695,79,2,81,Personal Auto,Two-Door Car
ZC62609,Oregon,F,High School or Below,276169,0,77,0,554,Personal Auto,Four-Door Car
FD64348,Oregon,M,High School or Below,2256362,23046,65,3,2,Personal Auto,Two-Door Car
TA58285,Oregon,M,High School or Below,528592,0,73,0,393,Personal Auto,Two-Door Car
WV66165,Oregon,F,High School or Below,3506265,84811,111,0,278,Personal Auto,SUV
YE27183,Oregon,M,Bachelor,591320,0,91,0,437,Corporate Auto,Four-Door Car
TI47802,California,F,Master,259340,0,69,0,331,Personal Auto,Two-Door Car
ZZ44902,Arizona,M,High School or Below,1269267,40117,108,0,750,Personal Auto,Two-Door Car
JD73594,Oregon,M,Bachelor,330912,72140,87,2,418,Personal Auto,Four-Door Car
VW82067,Washington,F,Master,518162,97131,6464,0,307,Personal Auto,Four-Door Car
JS55721,California,M,College,241393,12495,65,0,312,Personal Auto,Four-Door Car
ZB62469,California,M,High School or Below,216169,0,67,2,482,Corporate Auto,Two-Door Car
HZ74609,Oregon,F,Bachelor,552799,0,72,0,346,Personal Auto,Four-Door Car
TJ76363,Arizona,F,Doctor,1062922,36495,133,1,230,Corporate Auto,SUV
QZ58370,Nevada,F,Bachelor,1182011,86801,98,0,371,Personal Auto,Four-Door Car
RF44930,California,M,College,496463,52679,62,0,118,Personal Auto,Four-Door Car
VJ44100,California,M,Master,912293,90804,113,0,434,Personal Auto,Luxury
KN13494,Washington,F,Master,518162,97131,6464,0,307,Personal Auto,Four-Door Car
NL80137,Oregon,F,College,346066,14262,90,0,290,Personal Auto,Four-Door Car
NZ57065,Oregon,M,Bachelor,287298,36844,73,0,284,Personal Auto,Four-Door Car
NM42917,Arizona,F,College,992788,58703,127,2,228,Personal Auto,SUV
RR68322,Nevada,M,High School or Below,348269,65162,86,0,134,Personal Auto,Four-Door Car
OF78862,Oregon,F,College,399173,54964,99,0,526,Personal Auto,Four-Door Car
SC93784,Oregon,M,Bachelor,551011,61401,69,0,144,Personal Auto,Four-Door Car
CM59084,Oregon,F,High School or Below,360093,25147,101,0,695,Corporate Auto,SUV
QA41558,Oregon,F,Master,541946,73536,67,0,173,Personal Auto,Two-Door Car
SD62061,Oregon,F,High School or Below,581063,24860,73,0,350,Personal Auto,Four-Door Car
VP13613,California,M,Bachelor,394273,65404,99,0,301,Personal Auto,Four-Door Car
HF96939,Oregon,M,High School or Below,312627,34510,81,0,389,Personal Auto,Four-Door Car
DU18362,California,M,Bachelor,353001,0,108,0,778,Corporate Auto,Two-Door Car
UG34438,Washington,F,College,1099059,44552,137,0,311,Personal Auto,SUV
XQ19793,Arizona,M,High School or Below,477294,20993,133,0,638,Personal Auto,SUV
OB77084,Oregon,F,Bachelor,220234,0,61,1,293,Personal Auto,Two-Door Car
LK74984,Washington,M,High School or Below,245917,21190,65,2,312,Personal Auto,Four-Door Car
JE13986,Arizona,F,College,1037389,62587,86,0,413,Personal Auto,Four-Door Car
QR15221,Washington,F,High School or Below,258420,22562,65,0,312,Personal Auto,Two-Door Car
LD49835,California,M,High School or Below,430742,73345,107,0,514,Personal Auto,SUV
EK19337,Oregon,F,High School or Below,304025,0,83,0,989,Personal Auto,Four-Door Car
GD55093,California,F,Master,1916099,22705,239,0,1295,Personal Auto,Luxury
RX19151,Washington,M,Bachelor,817658,67137,111,5,315,Personal Auto,SUV
TJ30354,Oregon,F,Bachelor,528531,22627,67,0,322,Personal Auto,Four-Door Car
TA75663,California,F,Master,802499,38702,101,3,253,Personal Auto,SUV
WG15841,California,M,Bachelor,281046,26790,71,0,341,Personal Auto,Two-Door Car
LO68739,Arizona,F,Bachelor,773955,64859,96,0,267,Personal Auto,Four-Door Car
BE61743,Washington,M,Bachelor,410979,86657,103,0,316,Personal Auto,Luxury
EG56026,Nevada,F,High School or Below,327516,69263,81,2,495,Personal Auto,Two-Door Car
VF21395,Oregon,M,Bachelor,265270,82655,66,0,317,Personal Auto,Two-Door Car
SI11249,California,F,High School or Below,504823,29401,65,0,312,Personal Auto,Four-Door Car
PU95227,Washington,M,Bachelor,336241,22853,87,0,316,Personal Auto,Four-Door Car
VO87785,Arizona,F,College,485843,26480,63,0,379,Personal Auto,Two-Door Car
FS29897,Oregon,F,High School or Below,214492,0,61,1,293,Personal Auto,Four-Door Car
JG36165,California,M,Bachelor,604262,0,83,0,904,Personal Auto,Two-Door Car
SJ42058,Oregon,F,High School or Below,338720,73268,84,0,94,Personal Auto,Four-Door Car
CU13711,Oregon,F,Doctor,1086427,95579,67,0,309,Personal Auto,Four-Door Car
GT65065,Oregon,F,Master,884265,42142,112,0,396,Personal Auto,Luxury
LO77543,Washington,M,College,261661,72302,66,0,317,Special Auto,Two-Door Car
UQ85283,California,M,Bachelor,3076326,41279,115,0,251,Personal Auto,Luxury
QA49556,Washington,M,Master,520023,23401,66,0,317,Personal Auto,Four-Door Car
GE29173,Nevada,M,Bachelor,859131,0,128,0,1449,Corporate Auto,SUV
DF21541,Arizona,F,College,264657,23170,71,0,341,Personal Auto,Four-Door Car
JL59571,Oregon,F,Bachelor,460724,17343,63,0,209,Corporate Auto,Two-Door Car
DF94525,Oregon,M,College,486062,25854,68,0,396,Personal Auto,Four-Door Car
YO58424,Oregon,M,College,258085,46900,66,0,317,Corporate Auto,Four-Door Car
UF32671,Washington,F,College,529140,57338,66,0,317,Personal Auto,Four-Door Car
HO92982,California,M,High School or Below,840575,85355,71,2,459,Personal Auto,Two-Door Car
MZ24175,Arizona,F,College,309651,21604,79,0,379,Personal Auto,Four-Door Car
YD48962,Arizona,M,High School or Below,2941229,0,107,0,514,Personal Auto,SUV
RI52095,Washington,M,High School or Below,562705,51878,66,1,317,Personal Auto,Four-Door Car
MF18493,California,M,College,1749752,0,73,0,350,Personal Auto,Two-Door Car
EP61084,Nevada,F,High School or Below,321861,68776,80,0,88,Personal Auto,Four-Door Car
EN38348,Oregon,F,High School or Below,2320727,45039,96,0,192,Personal Auto,Four-Door Car
FG46258,Washington,F,College,692197,16483,90,0,321,Corporate Auto,Two-Door Car
LS98306,Nevada,M,High School or Below,1391853,64113,117,0,562,Special Auto,Four-Door Car
